year	band	in_herit_analysis	in_18_19_exp	in_epp_analysis	exclude	unsamp_egg	soc_un	soc_box	soc_uby	laid_un	laid_box	laid_ub	lay_clutch	gen_dad_uby	soc_mal_x	soc_mal_y	gen_mal_x	gen_mal_y	dist_soc_gen	soc_ci	gen_ci	offset_soc_gen	sex	soc_mal_caught	type	both_parent_knwn	in_xfost_exp	raised_nest	soc_mom	gen_mom	soc_dad_raised	soc_dad_laid	gen_dad	d12_mass	d12_wing	d12_head	d12_bgluc	d12_sgluc	d12_dgluc	d15_acgluc	d12_lat	d12_time	d15_mass	d15_time	d12_base	d12_stress	d12_dex	d15_acth	note
2018	272107436	no		yes		no	2	103	2_103_2018	2	103	2_103_2018	6		381832	4706663				133			F	yes	EP	no	yes	home	272106908	272106908	272106664	272106664		19.8	41	25.9					70	772	17.5	652	4.588	38.919	2.537	7.444	
2018	272106962	yes		yes		no	1	75	1_75_2018	1	75	1_75_2018	6	1_75_2018	379471	4706936	379471	4706936	0	138	138	0	F	yes	WP	yes	yes	home	272107699	272107699	272107825	272107825	272107825	21	47	25.9					68	787	16	570	2.537	16.919	4.218	7.484	
2018	272107595	yes		yes		no	4	63	4_63_2018	4	63	4_63_2018	6	4_61_2018	387744	4701963	387770	4701886	81	133	132	-1	M	yes	EP	yes	yes	home	272107764	272107764	263114147	263114147	259122329	24.5	44	26.6					58	841	18	603	1.253	14.446		7.762	
2019	281128802	yes		yes		no	1	81	1_81_2019	1	81	1_81_2019	6	1_81_2019	379528	4706915	379528	4706915	0	135	135	0		yes	WP	yes	yes	home	272107809	272107809	262125966	262125966	262125966	17	42	24.5	127	167	181	222	120	779	16.75	640	5.755	17.206	3.466	8.493	
2018	272107435	no		yes		no	2	103	2_103_2018	2	114	2_114_2018	6		381831	4706624				133			M	no	UNK	no	yes	cross	272106908	272107217	272106664	unk		19.5	38	24.1					64	772	18	652	3.065	27.972	2.309	8.497	
2019	281128680	yes		yes		no	1	86	1_86_2019	1	58	1_58_2019	4	1_58_2019	379590	4706930	379590	4706930	0	143	143	0		yes	WP	yes	yes	cross	278172233	281128704	272107529	281128653	281128653	13	35	23.3	176	171	176	198	35	748	10	551	0.47	0.989	2.917	8.686	
2018	272107437	no		yes		no	2	103	2_103_2018	2	103	2_103_2018	6		381832	4706663				133			M	yes	EP	no	yes	home	272106908	272106908	272106664	272106664		21	43	26.3					161	772	17.75	652	0.47		4.445	9.008	
2019	278171887	yes		yes		no	2	109	2_109_2019	2	19	2_19_2019	5	2_68_2019	381757	4706573	381714	4706637	77	133	129	-4		no	EP	yes	yes	cross	278172149	272107284	272106847	unk	263114244	16.5	48	25	173	177	176	218	75	851	12	593	49.393	44.451	3.426	9.678	
2019	281128530	no		yes		no	2	85	2_85_2019	2	85	2_85_2019	6		381995	4706686				142				yes	EP	no	yes	home	281128602	281128602	278172287	278172287		17.5	52	25.8	227	228	228	222	87	765	18.5	590	0.47	1.02	3.031	9.821	no match
2019	278172277	yes		yes		no	2	116	2_116_2019	2	116	2_116_2019	6	Unknown	381868	4706624				134				yes	EP	yes	yes	home	272107217	272107217	272107690	272107690	272107256	17.5	46	24.4	188	250	209	277	54	721	17.25	585	1.52	25.312	5.253	9.891	
2018	272106973	yes		yes		no	TH	115	TH_115_2018	TH	115	TH_115_2018	5	TH_115_2018	382479	4699549	382479	4699549	0	0			F	yes	WP	yes	yes	home	272107842	272107842	272107841	272107841	272107841	20							107	816	17	622	1.793	6.805	6.377	9.937	
2019	281128678	yes		yes		no	1	58	1_58_2019	1	58	1_58_2019	4	1_58_2019	379590	4706930	379590	4706930	0	143	143	0		yes	WP	yes	yes	home	281128704	281128704	281128653	281128653	281128653	20.5	48	24.5	188	171	254	182	68	730	18	548	6.707	16.05	7.568	9.947	
2018	272107849	yes		yes		no	1	48	1_48_2018	1	48	1_48_2018	5	1_48_2018	379596	4706889	379596	4706889	0	146	146	0	F	yes	WP	yes	yes	home	272107814	272107814	272106628	272106628	272106628	18	53	26.1					61	728	14.25	572	1.284	18.437	5.242	10.139	
2019	281128728	yes		yes		no	2	80	2_80_2019	2	39	2_39_2019	6	2_39_2019	382081	4706540	382081	4706540	0	132	132	0		yes	WP	yes	yes	cross	278172150	272107748	278172164	272107817	272107817	15.5	48	26.4	174	186	167	178	168	722	12.25	593	2.5	33.291	7.633	10.272	
2019	281128544	yes		yes		no	2	37	2_37_2019	2	37	2_37_2019	5	2_37_2019	382042	4706538	382042	4706538	0	153	153	0		yes	WP	yes	yes	home	278172145	278172146	272106914	272106914	272106914	24.75	56	25.8	195	237	227	340	80	746	19	678	0.995	9.007	2.967	10.38	
2019	278171884	yes		yes		no	2	68	2_68_2019	2	68	2_68_2019	8	2_111_2019	381714	4706637	381774	4706623	62	129	125	-4		yes	EP	yes	yes	home	272106822	272106822	263114244	263114244	259122557	20.75	49	25.9	215	245	264	209	166	798	16.5	655	9.144	23.172	5.779	10.402	
2018	272107587	yes		yes		no	4	61	4_61_2018	4	63	4_63_2018	6	4_61_2018	387744	4701963	387770	4701886	81	133	132	-1	F	yes	EP	yes	yes	cross	240134898	272107764	259122329	263114147	259122329	24.5	60	26.1						796	18	566	0.844	15.659	8.14	10.536	
2018	272107850	yes		yes		no	1	48	1_48_2018	1	48	1_48_2018	5	1_48_2018	379596	4706889	379596	4706889	0	146	146	0	F	yes	WP	yes	yes	home	272107814	272107814	272106628	272106628	272106628	19	54	25.3					114	728	14.75	572	4.972	11.951	11.828	10.685	
2018	272107446	no		yes		no	2	86	2_86_2018	2	86	2_86_2018	6	2_117_2018	382016	4706687	381887	4706624	144	132	137	5	M	yes	EP	no	yes	home	272106907	272106907	272106824	272106824	263114341	24.8	59	26					141	888	19.5	698	2.393	20.17		10.727	
2019	278172289	no		no	yes	no	2	72	2_72_2019	2	unk	2_unk_2019			381740	4706705								yes	UNK	no	yes	unk	281128603	unk	278172288	unk		18	46	24	186	193	214	266	55	734	16.75	563	0.515	17.916	4.399	10.745	These nestlings do not match the putative parents. Likely some mistake with cross fostering that is not resolveable.
2019	281128786	yes		yes		no	1	79	1_79_2019	1	79	1_79_2019	5	1_79_2019	379482	4706915	379482	4706915	0	156	156	0		yes	WP	yes	yes	home	281128654	281128654	278171397	278171397	278171397	21.5	60	26	197	261	242	282	139	888	18.5	621	7.346	17.61	5.681	10.807	
2018	272106829	yes		yes		no	1	32	1_32_2018	1	32	1_32_2018	5	1_121_2018	379572	4706724	379536	4706821	103	132	134	2	M	yes	EP	yes	yes	home	272107802	272107802	88004790	88004790	272106615	24.25	46	26.4					40	860	19.5	650	3.048	6.539	3.575	11.181	
2018	272106831	yes		yes		no	1	32	1_32_2018	1	32	1_32_2018	5	1_32_2018	379572	4706724	379572	4706724	0	132	132	0	F	yes	WP	yes	yes	home	272107802	272107802	88004790	88004790	88004790	23.25	43	25					85	860	15.5	650	1.289	2.254	4.023	11.274	
2018	156181142	yes		yes		no	2	112	2_112_2018	2	67	2_67_2018	5	Unknown	381715	4706614				132			F	yes	EP	yes	yes	home	272106903	272107749	272107690	272107697	263114244	23	53	25.7					115	878	19	632	1.279	27.078	2.411	11.425	
2018	272107847	yes		yes		no	1	48	1_48_2018	1	48	1_48_2018	5	1_301_2018	379596	4706889	379611	4706831	60	146	133	-13	F	yes	EP	yes	yes	home	272107814	272107814	272106628	272106628	272107009	19.25	54	26.2					81	728	15.75	572	1.411	44.084	7.561	11.586	
2019	278171883	yes		yes		no	2	68	2_68_2019	2	113	2_113_2019	6	2_117_2019	381811	4706623	381887	4706624	76	128	138	10		yes	EP	yes	yes	cross	272106822	281128604	263114244	259122557	281128726	19.75	56	25.4	165	220	257	198	69	798	15.25	655	1.901	26.985	4.716	11.659	
2018	272106958	no		yes		no	1	75	1_75_2018	1	75	1_75_2018	6		379471	4706936				138			M	yes	EP	no	yes	home	272107699	272107699	272107825	272107825		13	31	24.5					68	787	13.5	570	0.836	1.221	3.421	11.827	
2019	278171881	yes		yes		no	2	68	2_68_2019	2	68	2_68_2019	8	2_68_2019	381714	4706637	381714	4706637	0	129	129	0		yes	WP	yes	yes	home	272106822	272106822	263114244	263114244	263114244	19	39	24.3	159	221	187	218	68	798	14.25	655	4.117	14.806	3.819	12.172	
2018	272106953	yes		yes		no	4	18	4_18_2018	4	18	4_18_2018	6	4_18_2018	387133	4701726	387133	4701726	0	138	138	0	F	yes	WP	yes	yes	home	272107812	272107812	272107426	272107426	272107426	20.25	42.5	24.1					65	737	18.75	650	0.47	12.816	4.141	12.411	
2018	272107275	yes		yes		no	1	91	1_91_2018	1	81	1_81_2018	5	1_81_2018	379528	4706915	379528	4706915	0	133	133	0	M	yes	WP	yes	yes	cross	272107809	232146953	272107634	262125966	262125966	20.5	48	24.7					111	725	20	603	0.47	39.928	3.482	12.471	
2018	272107848	yes		yes		no	1	48	1_48_2018	1	48	1_48_2018	5	1_48_2018	379596	4706889	379596	4706889	0	146	146	0	F	yes	WP	yes	yes	home	272107814	272107814	272106628	272106628	272106628	18	51	25.8					85	728	15.5	572	4.67	34.835	4.602	12.505	
2018	272106982	yes		yes		no	TH	11	TH_11_2018	TH	11	TH_11_2018	0	TH_2_2018	382477	4699691	382265	4699770	226	0			F	yes	EP	yes	yes	home	272106697	272106697	272106698	272106698	88004611	16.5	35	23.8					42	823	14.25	706	3.144	25.888	11.236	12.531	
2018	272106937	no		yes		no	4	72	4_72_2018	4	unk	4_unk_2018			387635	4702341									UNK	no	yes	unk	272107298	unk	239159375	239159375		25	53	25.7					110	825		666	1.649	14.758	6.015	12.628	No RBCs collected
2018	272107445	yes		yes		no	2	86	2_86_2018	2	86	2_86_2018	6	2_117_2018	382016	4706687	381887	4706624	144	132	137	5	M	yes	EP	yes	yes	home	272106907	272106907	272106824	272106824	263114341	24.6	58	28.6					95	888	18	698	2.418	9.446	7.977	12.743	
2019	281128809	yes		yes		no	2	75	2_75_2019	2	75	2_75_2019	6	2_68_2019	381796	4706685	381714	4706637	95	137	129	-8		yes	EP	yes	yes	home	278172154	278172154	278172170	278172170	263114244	14.5	35	23.2	197	190	245	187	67	754	14.5	559	0.47	0.47	1.492	12.743	
2018	272106851	no		yes		no	2	102	2_102_2018	2	102	2_102_2018	6		381850	4706663				136			F	yes	EP	no	yes	home	272107811	272107811	272106915	272106915		17.75	41	24.2					110	751	18.4	575	2.639	7.027	1.294	12.953	
2019	281128529	no		yes		no	2	85	2_85_2019	2	64	2_64_2019	6		381716	4706561				142				yes	EP	no	yes	cross	281128602	278172160	278172287	272107774		14	45	24.4	202	241	223	158	184	765	15	590	3.311	9.044	3.606	13.084	no match
2018	272106830	yes		yes		no	1	32	1_32_2018	2	6	2_6_2018	6	2_6_2018	382003	4706575	382003	4706575	0	132	132	0	F	yes	WP	yes	yes	cross	272107802	272106901	88004790	272107696	272107696	21.5	47	25.3					65	860	16.5	650	0.947	5.953	5.667	13.343	
2018	272107589	yes		yes		no	4	61	4_61_2018	4	61	4_61_2018	6	4_61_2018	387770	4701886	387770	4701886	0	132	132	0	F	yes	WP	yes	yes	home	240134898	240134898	259122329	259122329	259122329	24	49	20.9					109	796	17.5	566	1.911	17.741	13.797	13.388	
2018	272107280	yes		yes		no	1	81	1_81_2018	1	81	1_81_2018	5	1_81_2018	379528	4706915	379528	4706915	0	133	133	0	F	yes	WP	yes	yes	home	232146953	232146953	262125966	262125966	262125966	19.75	54	25.9					146	779	14	549	2.467	16.183	10.371	13.755	
2019	278172296	yes		yes		no	2	14	2_14_2019	2	14	2_14_2019	5	2_116_2019	381851	4706573	381868	4706624	54	147	134	-13		yes	EP	yes	yes	home	278172163	278172163	272107816	272107816	272107690	23	55	26.5	194	221	217	269	116	728	18	549	0.47	24.851	8.466	13.757	
2019	281128776	yes		yes		no	2	119	2_119_2019	2	119	2_119_2019	5	2_119_2019	381924	4706624	381924	4706624	0	154	154	0		yes	WP	yes	yes	home	281128405	281128405	281128772	281128772	281128772	23.75	61	24.1	180	243	277	283	76	720	18	586	1.681	20.531	8.214	13.819	
2018	272107592	yes		yes		no	4	63	4_63_2018	4	63	4_63_2018	6	4_63_2018	387744	4701963	387744	4701963	0	133	133	0	M	yes	WP	yes	yes	home	272107764	272107764	263114147	263114147	263114147	19	38	22.5					123	841	15	603	1.639	3.27	4.637	13.828	
2019	278172279	yes		yes		no	2	116	2_116_2019	2	127	2_127_2019	6	2_127_2019	382079	4706627	382079	4706627	0	134	134	0		yes	WP	yes	yes	cross	272107217	278172153	272107690	278171880	278171880	16.5	51	25.6	130	129	158	216	73	721	17	585	14.258	58.333	3.937	14.079	
2018	272107270	yes		yes		no	4	80	4_80_2018	4	72	4_72_2018	6	4_71_2018	387635	4702341	387642	4702298	44	133	141	8	F	yes	EP	yes	yes	cross	272107599	272107298	263114115	239159375	272107693	23.5	56	25.8					110	875	18.5	715	1.822	10.404	6.181	14.087	
2018	272107459	no		yes		no	2	117	2_117_2018	2	117	2_117_2018	6	2_124_2018	381887	4706624	382020	4706625	133	137	129	-8	F	yes	EP	no	yes	home	272106913	272106913	263114341	263114341	272107503	16	47	24.2					59	767	12	663	2.745	13.891	4.416	14.116	
2018	272106947	no		yes		no	4	101	4_101_2018	4	101	4_101_2018	6		387684	4702053				136			F	yes	EP	no	yes	home	272107258	272107258	272107425	272107425		21	41	24					94	790	18	572	0.696	11.905	3.594	14.203	
2018	272107831	yes		yes		no	1	85	1_85_2018	1	17	1_17_2018	5	1_17_2018	379629	4706700	379629	4706700	0	138	138	0	F	yes	WP	yes	yes	cross	272106711	272107153	272107529	156181128	156181128	20.5	53	24.7					110	777	14.5	588	2.505	20.481	11.78	14.222	
2019	281128813	no		yes		no	2	75	2_75_2019	2	122	2_122_2019	5		381982	4706625				137				yes	EP	no	yes	cross	278172154	272107698	278172170	262126105		16.25	39	23.7	193	250	265	172	198	754	16.25	559	2.479	2.452	4.027	14.226	no match
2018	272106835	yes		yes		no	2	8	2_8_2018	2	8	2_8_2018	6	2_8_2018	381964	4706575	381964	4706575	0	132	132	0	M	yes	WP	yes	yes	home	272106902	272106902	272107789	272107789	272107789	22.25	48	25.4					130	726	19.25	588	1.008	12.671	4.893	14.23	
2019	281128746	yes		yes		no	1	105	1_105_2019	1	81	1_81_2019	6	1_81_2019	379528	4706915	379528	4706915	0	135	135	0		yes	WP	yes	yes	cross	281128701	272107809	262125449	262125966	262125966	14.75	41	24.3	307	327	245	184	43	757	13.5	619	0.653	15.746	1.901	14.283	
2018	272106857	yes		yes		no	2	121	2_121_2018	2	121	2_121_2018	6	2_121_2018	381962	4706625	381962	4706625	0	135	135	0	F	yes	WP	yes	yes	home	272107112	272107112	262126051	262126051	262126051	14.25	31	23.9					175	799	15.2	618	1.514	3.702	3.27	14.364	
2018	272107269	no		yes		no	4	80	4_80_2018	4	80	4_80_2018	5		387613	4702593				133			F	yes	EP	no	yes	home	272107599	272107599	263114115	263114115		21	52	24					95	875	17.25	715	1.221	8.241	2.614	14.424	
2019	281128679	yes		yes		no	1	58	1_58_2019	1	134	1_134_2019	6	Unknown	379502	4706763				142				no	UNK	yes	yes	cross	281128704	278172232	281128653	unk	272106615	22.5	54	26.3	193	217	217	167	105	730	20	548	0.47	23.053	2.091	14.435	Male is from 2018 1.121 but is a perfect match and has other EPY in a different nest too.
2019	281128510	yes		yes		no	2	3	2_3_2019	2	41	2_41_2019	4	2_41_2019	382095	4706497	382095	4706497	0	139	139	0		yes	WP	yes	yes	cross	278171872	278172152	272107815	272106957	272106957	23.5	55.5	24.4	199	243	231	205	88	755	19	609	2.022	14.248	4.309	14.446	
2019	281128745	yes		yes		no	1	105	1_105_2019	1	81	1_81_2019	6	1_81_2019	379528	4706915	379528	4706915	0	135	135	0		yes	WP	yes	yes	cross	281128701	272107809	262125449	262125966	262125966	16.5	45.5	24.5	253	261	232	205	78	757	14.5	619	0.575	5.325	2.124	14.537	
2019	281128805	yes		yes		no	1	81	1_81_2019	1	105	1_105_2019	5	1_105_2019	379556	4706847	379556	4706847	0	135	135	0		yes	WP	yes	yes	cross	272107809	281128701	262125966	262125449	262125449	18	54	25.4	114	185	206	240		779	19	640		36.941	7.441	14.671	
2018	156181143	no		yes		no	2	112	2_112_2018	2	68	2_68_2018	3		381714	4706637				130			F	yes	EP	no	yes	cross	272106903	272106733	272107690	272106916		20.5	47	24.9					90	878	18.5	632	1.27	18.08	1.729	14.709	
2018	272107852	no		yes		no	TF	2	TF_2_2018	TF	2	TF_2_2018	0							0			F	yes	EP	no	yes	home	272107465	272107465	272107466	272107466		23.25	43	24.2					174	802	21.5	657		10.971	4.723	14.896	
2018	272107272	no		yes		no	1	91	1_91_2018	1	81	1_81_2018	5		379528	4706915				133			F	yes	EP	no	yes	cross	272107809	232146953	272107634	262125966		20	49	25.4					122	725	17.5	603	3.323	28.204	5.139	15.027	
2019	281128499	yes		yes		no	2	31	2_31_2019	2	57	2_57_2019	5	2_57_2019	381795	4706493	381795	4706493	0	142	142	0		yes	WP	yes	yes	cross	272107361	156181153	278171892	278172282	278172282	19.75	41	24.8	329	313	241	212	81	746	18.5	542	3.101	0.725	3.254	15.034	
2019	278171886	yes		yes		no	2	68	2_68_2019	2	103	2_103_2019	6	2_105_2019	381832	4706663	381794	4706662	38	129	140	11		yes	EP	yes	yes	cross	272106822	272107786	263114244	272106664	281128742	23.5	58	26.4	148	224	212	221	154	798	18.5	655	9.687	31.701	11.319	15.071	
2019	281128722	yes		yes		no	2	103	2_103_2019	2	68	2_68_2019	8	2_111_2019	381714	4706637	381774	4706623	62	129	125	-4		yes	EP	yes	yes	cross	272107786	272106822	272106664	263114244	259122557	19.5	45	24.4	175	195	229	225	61	813	15.5	633	0.651	54.009	7.263	15.179	
2019	281128506	yes		yes		no	2	3	2_3_2019	2	15	2_15_2019	5	2_15_2019	381832	4706573	381832	4706573	0	139	139	0		yes	WP	yes	yes	cross	278171872	278172155	272107815	272107335	272107335	13.5	33	23.7	188	210	227	98	35	755	10.5	609	8.912	5.06	2.98	15.245	
2018	272106983	yes		yes		no	TH	11	TH_11_2018	TH	11	TH_11_2018	0	TH_2_2018	382477	4699691	382265	4699770	226	0			F	yes	EP	yes	yes	home	272106697	272106697	272106698	272106698	88004611	19.5	45	25.2					56	823	16.75	706	1.5	12.862	13.401	15.366	
2018	272107823	no		yes		no	2	124	2_124_2018	2	109	2_109_2018	6		381738	4706622				129			F	yes	EP	no	yes	cross	272108041	272107739	unk	272107688		18.8	40	25.5					66	813	17.25	623	0.47	7.137	3.37	15.403	
2019	281128753	no		yes		no	2	62	2_62_2019	2	70	2_70_2019	5		381713	4706677				140				no	UNK	no	yes	cross	272107855	278172156	281128501	unk		21	54	25.7	180	188	168	199	55	724	17	594	1.296	9.118	3.024	15.46	no match
2019	281128527	no		yes		no	2	85	2_85_2019	2	85	2_85_2019	6		381995	4706686				142				yes	EP	no	yes	home	281128602	281128602	278172287	278172287		16	41	24.4	232	226	220	192	146	765	17.5	590	1.109	1.82	3.697	15.463	no match
2019	281128713	yes		yes		no	2	111	2_111_2019	2	111	2_111_2019	5	2_111_2019	381774	4706623	381774	4706623	0	125	125	0		yes	WP	yes	yes	home	272107739	272107739	259122557	259122557	259122557	16.5	45	22.4	165	178	179	198	131	743	15.5	659	2.689	30.36	8.068	15.567	
2018	272106970	yes		yes		no	TH	115	TH_115_2018	TH	115	TH_115_2018	5	TH_115_2018	382479	4699549	382479	4699549	0	0			M	yes	WP	yes	yes	home	272107842	272107842	272107841	272107841	272107841	21.5	54	26.4					104	816	15.75	622	1.793	17.448	5.317	15.578	
2018	272107460	no		yes		no	2	117	2_117_2018	2	77	2_77_2018	6		381835	4706685				137			M	yes	EP	no	yes	cross	272106913	272107786	263114341	272107788		22	48	25.8					136	767	20.4	663	3.015	17.398	10.1	15.829	
2018	272106917	yes		yes		no	2	68	2_68_2018	2	67	2_67_2018	5	Unknown	381715	4706614				132			F	yes	EP	yes	yes	cross	272106733	272107749	272106916	272107697	263114244	20	40	22.8					50	760	17.5	568	0.47	6.934	6.296	15.862	
2018	272106939	no		yes		no	4	72	4_72_2018	4	80	4_80_2018	5		387613	4702593				133			F	yes	EP	no	yes	cross	272107298	272107599	239159375	263114115		21.5	49	25.5					170	825	16	666	7.89	2.053	2.614	16.097	
2018	272107433	no		yes		no	2	103	2_103_2018	2	114	2_114_2018	6		381831	4706624				133			M	no	UNK	no	yes	cross	272106908	272107217	272106664	unk		17.6	34	23.6					95	772	14	652	52.127	25.814	3.237	16.391	
2019	278172290	yes		yes		no	2	72	2_72_2019	2	34	2_34_2019	5	2_32_2019	381987	4706538	381950	4706538	37	145	135	-10		yes	EP	yes	yes	cross	281128603	278172162	278172288	281128516	278172169	21.5	56	25.5	183	208	192	188	122	734	19	563	3.024	6.405	5.026	16.472	
2019	281128505	yes		yes		no	2	41	2_41_2019	2	15	2_15_2019	5	2_15_2019	381832	4706573	381832	4706573	0	139	139	0		yes	WP	yes	yes	cross	278172152	278172155	272106957	272107335	272107335	17.5	38.5	24.3	207	277	223	232	72	741	18.5	580	0.481	5.673	7.324	16.49	
2018	272107694	no		yes		no	1	121	1_121_2018	1	69	1_69_2018	5		379501	4706972				134			F	yes	EP	no	yes	cross	272107750	272107808	272106615	185746899		13	26	21.8					177	754	16	544	8.34	14.079	3.235	16.8	
2018	272106858	yes		yes		no	2	121	2_121_2018	2	121	2_121_2018	6	2_121_2018	381962	4706625	381962	4706625	0	135	135	0	M	yes	WP	yes	yes	home	272107112	272107112	262126051	262126051	262126051	14.5	30.5	23.2					102	799	10.8	618	0.47	1.106	2.744	16.809	
2019	278172168	yes		yes		no	2	35	2_35_2019	2	36	2_36_2019	5		382023	4706538				130				yes	EP	yes	yes	cross	272107805	278172145	278171878	272106914		19.25	50	24.9	219	237	247	276	52	759	16	581	3.338	59.822	3.184	16.992	no match
2018	272107449	yes		yes		no	2	86	2_86_2018	2	86	2_86_2018	6	2_117_2018	382016	4706687	381887	4706624	144	132	137	5	F	yes	EP	yes	yes	home	272106907	272106907	272106824	272106824	263114341	22.4	49	25.7					128	888	18.5	698	3.44	30.081	4.536	16.998	
2018	272106971	yes		yes		no	TH	115	TH_115_2018	TH	115	TH_115_2018	5	TH_115_2018	382479	4699549	382479	4699549	0	0			M	yes	WP	yes	yes	home	272107842	272107842	272107841	272107841	272107841	20.5	51	24.3					117	816	17	622	6.642	13.743	9.072	17.009	
2018	272106959	no		yes		no	1	75	1_75_2018	1	104	1_104_2018	4		379539	4706845				138			M	no	UNK	no	yes	cross	272107699	272107790	272107825	unk		16.25	43	24.7					68	787	14.75	570	5.645	18.323	2.367	17.124	
2019	281128810	yes		yes		no	2	75	2_75_2019	2	122	2_122_2019	5	2_122_2019	381982	4706625	381982	4706625	0	137	137	0		yes	WP	yes	yes	cross	278172154	272107698	278172170	262126105	262126105	16.5	36	23.4	192	228	246	171	114	754	16.25	559	0.485	0.484	1.14	17.196	
2018	272106966	yes		yes		no	2	64	2_64_2018	2	64	2_64_2018	5	2_21_2018	381716	4706561	381736	4706534	34	140	132	-8	F	yes	EP	yes	yes	home	272106823	272106823	272107774	272107774	272107530	20.8	62	25.7					42	796	17.25	587	0.545	11.781	4.557	17.313	
2019	281128545	yes		yes		no	2	37	2_37_2019	2	37	2_37_2019	5	2_32_2019	382042	4706538	381950	4706538	92	153	135	-18		yes	EP	yes	yes	home	278172145	278172146	272106914	272106914	278172169	23.5	58	25.8	204	222	220	219	99	746	21.5	678	1.664	13.256	7.613	17.873	
2019	281128531	yes		yes		no	2	85	2_85_2019	2	64	2_64_2019	6	2_64_2019	381716	4706561	381716	4706561	0	142	142	0		yes	WP	yes	yes	cross	281128602	278172160	278172287	272107774	272107774	19.9	53	25.4	170	250	241	227	184	765	19.25	590	3.255	2.735	3.205	17.985	
2019	281128788	yes		yes		no	1	19	1_19_2019	1	19	1_19_2019	3	1_19_2019	379610	4706727	379610	4706727	0	161	161	0		yes	WP	yes	yes	home	278172231	278172231	169139088	169139088	169139088	22.75	54	26.1	193	239	244	243	82	720	19.5	576	0.47	3.673	8.416	17.996	
2019	281128757	yes		yes		no	2	105	2_105_2019	2	6	2_6_2019	5	2_32_2019	382003	4706575	381950	4706538	65	140	135	-5		yes	EP	yes	yes	cross	278172158	278172157	281128742	278172161	278172169	22.75	49	26.1	154	175	216	250	45	742	20.5	547	2.811	6.098	3.649	18.132	
